"Handle","Title","Body (HTML)","Vendor","Type","Tags","Published","Option1 Name","Option1 Value","Option2 Name","Option2 Value","Variant SKU","Variant Grams","Variant Inventory Policy","Variant Fulfillment Service","Variant Price","Variant Compare At Price","Variant Requires Shipping","Variant Taxable","Image Src","Image Position","Image Alt Text","Variant Image"
"the-brera-trouser","The Brera Trouser","<p>Cut from Italian linen in a relaxed wide-leg silhouette. Pleated front, side pockets, and a clean hem that sits just at the ankle.</p><p><strong>Fabric:</strong> 100% Italian Linen<br><strong>Care:</strong> Dry clean or cool hand wash<br><strong>Made in:</strong> Italy</p>","VELA Studio","Tailoring","new-in,tailoring,resort-26,bestsellers","TRUE","Size","XS","Colour","Bone","VLA-BRT-XS-BN","0","deny","manual","285.00","","TRUE","TRUE","https://images.unsplash.com/photo-1490481651871-ab68de25d43d?w=1000&q=80&auto=format&fit=crop","1","The Brera Trouser – Bone","https://images.unsplash.com/photo-1490481651871-ab68de25d43d?w=1000&q=80&auto=format&fit=crop"
"the-brera-trouser","","","","","","","Size","S","Colour","Bone","VLA-BRT-S-BN","0","deny","manual","285.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1490481651871-ab68de25d43d?w=1000&q=80&auto=format&fit=crop"
"the-brera-trouser","","","","","","","Size","M","Colour","Bone","VLA-BRT-M-BN","0","deny","manual","285.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1490481651871-ab68de25d43d?w=1000&q=80&auto=format&fit=crop"
"the-brera-trouser","","","","","","","Size","L","Colour","Bone","VLA-BRT-L-BN","0","deny","manual","285.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1490481651871-ab68de25d43d?w=1000&q=80&auto=format&fit=crop"
"the-brera-trouser","","","","","","","Size","XL","Colour","Bone","VLA-BRT-XL-BN","0","deny","manual","285.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1490481651871-ab68de25d43d?w=1000&q=80&auto=format&fit=crop"
"the-brera-trouser","","","","","","","Size","XS","Colour","Ink","VLA-BRT-XS-IK","0","deny","manual","285.00","","TRUE","TRUE","https://images.unsplash.com/photo-1509631179647-0177331693ae?w=1000&q=80&auto=format&fit=crop","2","The Brera Trouser – Ink","https://images.unsplash.com/photo-1509631179647-0177331693ae?w=1000&q=80&auto=format&fit=crop"
"the-brera-trouser","","","","","","","Size","S","Colour","Ink","VLA-BRT-S-IK","0","deny","manual","285.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1509631179647-0177331693ae?w=1000&q=80&auto=format&fit=crop"
"the-brera-trouser","","","","","","","Size","M","Colour","Ink","VLA-BRT-M-IK","0","deny","manual","285.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1509631179647-0177331693ae?w=1000&q=80&auto=format&fit=crop"
"the-brera-trouser","","","","","","","Size","L","Colour","Ink","VLA-BRT-L-IK","0","deny","manual","285.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1509631179647-0177331693ae?w=1000&q=80&auto=format&fit=crop"
"the-brera-trouser","","","","","","","Size","XL","Colour","Ink","VLA-BRT-XL-IK","0","deny","manual","285.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1509631179647-0177331693ae?w=1000&q=80&auto=format&fit=crop"
"the-linen-camisole","The Linen Camisole","<p>Effortless linen camisole cut to fall loosely from the shoulders. Adjustable straps, a softly curved neckline, and a hem that pairs equally well tucked or untucked.</p><p><strong>Fabric:</strong> 100% Washed Linen<br><strong>Care:</strong> Machine wash cold, gentle cycle<br><strong>Made in:</strong> Portugal</p>","VELA Studio","Tops","new-in,tops,resort-26","TRUE","Size","XS","Colour","Ink","VLA-LNC-XS-IK","0","deny","manual","145.00","","TRUE","TRUE","https://images.unsplash.com/photo-1483985988355-763728e1935b?w=1000&q=80&auto=format&fit=crop","1","The Linen Camisole – Ink","https://images.unsplash.com/photo-1483985988355-763728e1935b?w=1000&q=80&auto=format&fit=crop"
"the-linen-camisole","","","","","","","Size","S","Colour","Ink","VLA-LNC-S-IK","0","deny","manual","145.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1483985988355-763728e1935b?w=1000&q=80&auto=format&fit=crop"
"the-linen-camisole","","","","","","","Size","M","Colour","Ink","VLA-LNC-M-IK","0","deny","manual","145.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1483985988355-763728e1935b?w=1000&q=80&auto=format&fit=crop"
"the-linen-camisole","","","","","","","Size","L","Colour","Ink","VLA-LNC-L-IK","0","deny","manual","145.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1483985988355-763728e1935b?w=1000&q=80&auto=format&fit=crop"
"the-linen-camisole","","","","","","","Size","XL","Colour","Ink","VLA-LNC-XL-IK","0","deny","manual","145.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1483985988355-763728e1935b?w=1000&q=80&auto=format&fit=crop"
"the-linen-camisole","","","","","","","Size","XS","Colour","Shell","VLA-LNC-XS-SH","0","deny","manual","145.00","","TRUE","TRUE","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=1000&q=80&auto=format&fit=crop","2","The Linen Camisole – Shell","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=1000&q=80&auto=format&fit=crop"
"the-linen-camisole","","","","","","","Size","S","Colour","Shell","VLA-LNC-S-SH","0","deny","manual","145.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=1000&q=80&auto=format&fit=crop"
"the-linen-camisole","","","","","","","Size","M","Colour","Shell","VLA-LNC-M-SH","0","deny","manual","145.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=1000&q=80&auto=format&fit=crop"
"the-linen-camisole","","","","","","","Size","L","Colour","Shell","VLA-LNC-L-SH","0","deny","manual","145.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=1000&q=80&auto=format&fit=crop"
"the-linen-camisole","","","","","","","Size","XL","Colour","Shell","VLA-LNC-XL-SH","0","deny","manual","145.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1539109136881-3be0616acf4b?w=1000&q=80&auto=format&fit=crop"
"the-plaster-knit","The Plaster Knit","<p>A fine-gauge knit in an earthy tone that sits between stone and clay. Slightly relaxed through the body with a clean crew neck.</p><p><strong>Fabric:</strong> 80% Merino Wool, 20% Cashmere<br><strong>Care:</strong> Hand wash cold or dry clean<br><strong>Made in:</strong> Italy</p>","VELA Studio","Knitwear","knitwear,resort-26","TRUE","Size","XS","Colour","Clay","VLA-PLK-XS-CL","0","deny","manual","195.00","","TRUE","TRUE","https://images.unsplash.com/photo-1525507119028-ed4c629a60a3?w=1000&q=80&auto=format&fit=crop","1","The Plaster Knit – Clay","https://images.unsplash.com/photo-1525507119028-ed4c629a60a3?w=1000&q=80&auto=format&fit=crop"
"the-plaster-knit","","","","","","","Size","S","Colour","Clay","VLA-PLK-S-CL","0","deny","manual","195.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1525507119028-ed4c629a60a3?w=1000&q=80&auto=format&fit=crop"
"the-plaster-knit","","","","","","","Size","M","Colour","Clay","VLA-PLK-M-CL","0","deny","manual","195.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1525507119028-ed4c629a60a3?w=1000&q=80&auto=format&fit=crop"
"the-plaster-knit","","","","","","","Size","L","Colour","Clay","VLA-PLK-L-CL","0","deny","manual","195.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1525507119028-ed4c629a60a3?w=1000&q=80&auto=format&fit=crop"
"the-plaster-knit","","","","","","","Size","XL","Colour","Clay","VLA-PLK-XL-CL","0","deny","manual","195.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1525507119028-ed4c629a60a3?w=1000&q=80&auto=format&fit=crop"
"the-plaster-knit","","","","","","","Size","XS","Colour","Shell","VLA-PLK-XS-SH","0","deny","manual","195.00","","TRUE","TRUE","https://images.unsplash.com/photo-1576506295286-5cda498003d8?w=1000&q=80&auto=format&fit=crop","2","The Plaster Knit – Shell","https://images.unsplash.com/photo-1576506295286-5cda498003d8?w=1000&q=80&auto=format&fit=crop"
"the-plaster-knit","","","","","","","Size","S","Colour","Shell","VLA-PLK-S-SH","0","deny","manual","195.00","","TRUE","TRUE","","","","https://images.unsplash.com/photo-1576506295286-5cda498003d8?w=1000&q=80&auto=format&fit=crop"
